Mit Verwendung des Masters,,,,,;;;;;;;;;;;
Laufzeitmessung,,,,,;;;;;;;;;;;
,Netzwerkgroesse,,,,;;;;;;;;;;;
,1,2,3,4,5;;;;;;;;;;;
"1,""19,32"",""11,89"",""7,54"",""5,67"",""4,52""";;;;Messung;Worker;Laufzeite;;;;;
"2,""19,26"",""12,24"",""8,03"",""5,91"",""4,55""";;;;;1;19,32;;;;;
"3,""19,17"",""12,30"",""7,42"",""5,61"",""4,64""";;;;;2;;;;;;
"4,""18,33"",""12,34"",""7,50"",""5,64"",""4,50""";;;;;3;;;;;;
"5,""18,50"",""11,53"",""7,59"",""5,73"",""4,49""";;;;;4;;;;;;
"6,""18,47"",""12,61"",""7,50"",""5,75"",""4,55""";;;;;5;;;;;;
"7,""18,93"",""10,60"",""7,52"",""5,56"",""4,50""";;;;Mit Master;;;;;;;
"8,""18,66"",""11,72"",""7,51"",""5,58"",""4,51""";;;;;Worker;1;2;3;4;5;
"9,""19,07"",""11,84"",""7,57"",""5,68"",""4,51""";;;;Messung;Laufzeit;;;;;;
"10,""18,62"",""11,69"",""7,55"",""5,59"",""4,50""";;;;0;;0;;;;;18,833
",""18,83"",""11,88"",""7,57"",""5,67"",""4,53""";;;;1;;19,32;11,98;7,54;5,67;4,52;18,833
,,,,,;;;;2;;19,26;12,24;8,03;5,91;4,5;18,833
,,,,,;;;;3;;19,17;12,3;7,42;5,61;4,64;18,833
Ohne Verwendung des Masters,,,,,;;;;4;;18,33;12,34;7,5;5,64;4,5;18,833
Laufzeitmessung,,,,,;;;;5;;18,5;11,53;7,59;5,73;4,49;18,833
,Netzwerkgroesse,,,,;;;;6;;18,47;12,61;7,5;5,75;4,55;18,833
,1,2,3,4,5;;;;7;;18,93;10,6;7,52;5,56;4,5;18,833
"1,""18,83"",""19,43"",""11,50"",""7,55"",""5,76""";;;;8;;18,66;11,72;7,51;5,58;4,41;18,833
"2,""18,85"",""18,99"",""11,39"",""7,69"",""5,77""";;;;9;;19,07;11,84;7,57;5,68;4,51;18,833
"3,""18,89"",""19,07"",""11,58"",""7,48"",""5,78""";;;;10;;18,62;11,69;7,55;5,59;4,5;18,833
"4,""19,03"",""19,57"",""11,38"",""7,85"",""5,79""";;;;;Durchschnitt;18,833;11,885;7,573;5,672;4,512;
"5,""19,80"",""19,04"",""11,50"",""7,61"",""6,23""";;;;;Max;19,32;12,61;8,03;5,91;4,64;
"6,""18,50"",""18,57"",""11,33"",""7,68"",""5,77""";;;;;Min;18,33;10,6;7,42;5,56;4,41;
"7,""18,68"",""18,88"",""11,42"",""7,54"",""5,82""";;;;ohne Master;;;;;;;
"8,""18,69"",""18,58"",""11,51"",""7,53"",""5,69""";;;;;Worker;1;2;3;4;5;
"9,""18,42"",""18,82"",""11,38"",""7,56"",""5,73""";;;;Messung;Laufzeit;;;;;;
"10,""18,54"",""18,88"",""11,44"",""7,64"",""5,75""";;;;1;;18,83;19,43;11,5;7,55;5,76;
",""18,82"",""18,98"",""11,44"",""7,61"",""5,81""";;;;2;;18,85;18,99;11,39;7,69;5,77;
;;;;3;;18,89;19,07;11,58;7,48;5,78;
;;;;4;;19,03;19,57;11,38;7,85;5,79;
;;;;5;;19,8;19,04;11,5;7,61;6,23;
;;;;6;;18,5;18,58;11,33;7,68;5,77;
;;;;7;;18,69;18,88;11,42;7,54;5,82;
;;;;8;;18,69;18,58;11,1;7,53;5,69;
;;;;9;;18,42;18,82;11,38;7,56;5,73;
;;;;10;;18,54;18,88;11,44;7,64;5,75;
;;;;;Durchschnitt;18,824;18,984;11,402;7,613;5,809;
;;;;;Max;19,8;19,57;11,58;7,85;6,23;
;;;;;Min;18,42;18,58;11,1;7,48;5,69;
